,Mobile_name,Processor,Storage,Screen_Length,Camera,Battery,Warranty,Rating & Reviews, Discount
111,"realme 11x 5G (Purple Dawn, 128 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"53,917 Ratings & 2,600 Reviews",11% off
112,"Infinix SMART 7 (Emerald Green, 64 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"63,821 Ratings & 3,115 Reviews",30% off
113,"realme 11x 5G (Midnight Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,"12,980 Ratings & 1,901 Reviews",11% off
114,"OPPO Reno10 5G (Ice Blue, 256 GB)",17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,"57,199 Ratings & 3,129 Reviews",15% off
115,"POCO C51 (Royal Blue, 64 GB)",64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,"57,199 Ratings & 3,129 Reviews",35% off
116,"POCO C51 (Power Black, 64 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"53,917 Ratings & 2,600 Reviews",35% off
117,"POCO C50 (Royal Blue, 32 GB)",Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,"2,829 Ratings & 243 Reviews",38% off
118,"REDMI 12 (Moonstone Silver, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"38,664 Ratings & 2,250 Reviews",28% off
119,"POCO C55 (Cool Blue, 128 GB)",8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,269 Ratings & 42 Reviews,39% off
120,"OPPO Find N2 Flip (Moonlit Purple, 256 GB)",17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,"2,829 Ratings & 243 Reviews",10% off
121,"REDMI 12 (Pastel Blue, 128 GB)",64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,"38,664 Ratings & 2,250 Reviews",28% off
122,"POCO C55 (Power Black, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,915 Ratings & 85 Reviews,39% off
123,"POCO M6 Pro 5G (Power Black, 128 GB)",Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,"63,821 Ratings & 3,115 Reviews",23% off
124,"realme 11x 5G (Midnight Black, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"63,821 Ratings & 3,115 Reviews",15% off
125,"realme 11x 5G (Purple Dawn, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"17,973 Ratings & 888 Reviews",15% off
126,"realme 11x 5G (Purple Dawn, 128 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"53,917 Ratings & 2,600 Reviews",11% off
127,"Infinix SMART 7 (Emerald Green, 64 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"63,821 Ratings & 3,115 Reviews",30% off
128,"realme 11x 5G (Midnight Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,"12,980 Ratings & 1,901 Reviews",11% off
129,"OPPO Reno10 5G (Ice Blue, 256 GB)",17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,"57,199 Ratings & 3,129 Reviews",15% off
130,"POCO C51 (Royal Blue, 64 GB)",64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,"57,199 Ratings & 3,129 Reviews",35% off
131,"POCO C51 (Power Black, 64 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,"53,917 Ratings & 2,600 Reviews",35% off
132,"POCO C50 (Royal Blue, 32 GB)",Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,Dimensity 6100+ Processor,"2,829 Ratings & 243 Reviews",38% off
133,"REDMI 12 (Moonstone Silver, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"38,664 Ratings & 2,250 Reviews",28% off
134,"POCO C55 (Cool Blue, 128 GB)",8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,8 GB RAM | 256 GB ROM,"14,221 Ratings & 1,219 Reviews",39% off
135,"OPPO Reno8T 5G (Sunrise Gold, 128 GB)",17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,17.02 cm (6.7 inch) Full HD+ Display,"2,829 Ratings & 243 Reviews",31% off
136,"REDMI 12 (Pastel Blue, 128 GB)",64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,"38,664 Ratings & 2,250 Reviews",28% off
137,"POCO C55 (Power Black, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,269 Ratings & 42 Reviews,39% off
138,"OPPO Find N2 Flip (Moonlit Purple, 256 GB)",Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,915 Ratings & 85 Reviews,10% off
139,"POCO M6 Pro 5G (Power Black, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"63,821 Ratings & 3,115 Reviews",23% off
140,"realme 11x 5G (Midnight Black, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"63,821 Ratings & 3,115 Reviews",15% off
